name,province,lat,lng
元氏县第五中学,河北省,37.770359,114.592604
元氏四中,河北省,37.843842,114.480675
元氏县第六中学,河北省,37.754335,114.525595
元氏县第二中学,河北省,37.752992,114.52168
德才中学,河北省,37.782514,114.510964
元氏县第九中学,河北省,37.855377,114.474949
元氏县第三中学,河北省,37.850335,114.365499
河北赵县中学,河北省,37.757711,114.787537
赵县兴华中学,河北省,37.748501,114.762209
赵县杨户中学,河北省,37.750096,114.953914
石塔中学,河北省,37.753024,114.784079
赵县李春学校,河北省,37.772981,114.797238
赵县第六中学,河北省,37.758722,114.777261
赵县石塔学校(实验校区),河北省,37.751235,114.785627
大安中学,河北省,37.794009,115.030039
大夫庄中学,河北省,37.767567,115.046682
南柏舍镇中学,河北省,37.761197,114.881801
河北科技大学(新校区),河北省,37.984026,114.528652
河北经贸大学,河北省,38.141249,114.499536
河北师范大学(新校区),河北省,38.003617,114.526421
河北师范大学汇华学院,河北省,38.012563,114.470428
河北医科大学,河北省,38.051885,114.541119
石家庄学院,河北省,38.025509,114.60673
河北交通职业技术学院,河北省,38.032887,114.649481
石家庄铁道大学四方学院(南校区),河北省,37.889637,114.412919
河北交通职业技术学院(西院区),河北省,38.019602,114.457268
河北正定中学,河北省,38.161365,114.575771
辛集市第一中学,河北省,37.950128,115.242679
辛集信德中学(南校区),河北省,37.930798,115.25136
辛集市第三中学,河北省,38.038095,115.251067
辛集市第二中学,河北省,38.013309,115.397937
辛集市第五中学,河北省,37.869866,115.318453
辛集市实验学校,河北省,37.948293,115.225413
辛集市育才中学,河北省,37.924145,115.258557
辛集镇第十一小学,河北省,37.931455,115.208094
辛集市位伯镇中学,河北省,38.065593,115.230391
辛集市东明中学,河北省,37.966173,115.25928
河北科技大学(新校区),河北省,37.984026,114.528652
河北经贸大学,河北省,38.141249,114.499536
河北师范大学(新校区),河北省,38.003617,114.526421
河北师范大学汇华学院,河北省,38.012563,114.470428
河北医科大学,河北省,38.051885,114.541119
石家庄学院,河北省,38.025509,114.60673
河北交通职业技术学院,河北省,38.032887,114.649481
石家庄铁道大学四方学院(南校区),河北省,37.889637,114.412919
河北交通职业技术学院(西院区),河北省,38.019602,114.457268
河北正定中学,河北省,38.161365,114.575771
河北平山中学,河北省,38.25362,114.204619
河北平山古月中学,河北省,38.285729,113.887078
河北省明星学校华英中学,河北省,38.271345,114.226732
石家庄敬业中学,河北省,38.309859,114.174618
河北平山回舍中学,河北省,38.260188,114.108384
河北敬业职工大学,河北省,38.378079,114.147745
河北平山实验中学,河北省,38.260876,114.221525
河北平山第二中学,河北省,38.272132,114.192892
平山县世纪中学,河北省,38.278599,114.090303
河渠希望小学,河北省,38.345089,114.269848
晋州市第二中学,河北省,38.047039,115.027504
晋州市第一中学,河北省,38.025199,115.094811
晋州市桃园镇桃园中学,河北省,37.964119,115.018962
晋州市第七中学,河北省,38.034252,115.057108
东寺中学,河北省,37.995445,115.081297
晋州市实验中学,河北省,38.025957,115.098147
晋州市第三中学,河北省,38.036638,115.017938
晋州市东里庄乡中学,河北省,37.942495,115.090067
晋州市明德初级中学,河北省,38.028539,115.097949
晋州市朝阳小学,河北省,38.03816,115.068552
河北美术学院,河北省,38.351178,114.723938
河北省新乐市第一中学,河北省,38.356847,114.682129
孝德小学,河北省,38.360205,114.701561
河北地质大学华信学院,河北省,38.337756,114.778235
河北省新乐市第二中学,河北省,38.395716,114.801208
河北省新乐市博林中学,河北省,38.360145,114.722834
卫星化工厂小学,河北省,38.352873,114.742953
新乐四中,河北省,38.366875,114.624859
唐山市第二中学,河北省,39.62544,118.147906
唐山科技职业技术学院,河北省,39.603696,118.245074
唐山市第九中学,河北省,39.615544,118.157872
唐山二十六中,河北省,39.605648,118.142617
唐山市路南区实验小学,河北省,39.628265,118.172383
友谊中学,河北省,39.627393,118.149894
开滦二中,河北省,39.627258,118.158396
燕京小学,河北省,39.623911,118.15453
唐山五中,河北省,39.621823,118.14134
南湖小学,河北省,39.604017,118.140876
唐山师范学院(大学道校区),河北省,39.679478,118.180051
唐山学院(大学西道校区东院),河北省,39.683989,118.173301
唐山一中,河北省,39.65224,118.145063
华北理工大学(建设路校区),河北省,39.643149,118.187579
唐山师范学院(学院路校区),河北省,39.642382,118.166221
唐山学院(华岩北路),河北省,39.664214,118.176727
唐山五十四中,河北省,39.635157,118.142494
唐山市第十二中学,河北省,39.657191,118.179251
唐山学院,河北省,39.645238,118.19854
唐山市第五十二中学,河北省,39.612612,118.132619
开滦二中(东校区),河北省,39.756735,118.457442
